date,latitude,longitude,comments,comments2
24-Sep-15,1.416028,103.836796,blk 852 yishun street 81,
24-Sep-15,1.418939,103.840344,foot of blk 666 yishun ave 4,
24-Sep-15,1.421023,103.840614,in northland pri sch yishun ave 4,
25-Sep-15,1.434723,103.831865,blk 123 yishun street 11,
25-Sep-15,1.438902,103.837588,in the drain blk 281 yishun street 22,
1-Oct-15,1.432032,103.834,grass patch beside blk 135 yishun street 11,
5-Oct-15,1.426497,103.838443,park area behind yishun polyclinic yishun central 1,
6-Oct-15,1.432458,103.838025,in yishun town sec sch yishun street 21,
13-Oct-15,1.433431,103.838834,void deck of blk 237 yishun ring road,
30-Oct-15,1.433828,103.82688,void deck of blk 115b yishun ring road,base
9-Nov-15,1.430586,103.827923,carpark area behind blk 101 yishun ring road,
28-Nov-15,1.433327,103.83535,vicinity of blk 220 yishun street 21,
28-Nov-15,1.434102,103.842797,rubbish chute of blk 317b yishun ave 9,
30-Nov-15,1.429017,103.830302,vicinity of blk 732 yishun ave 5,
1-Dec-15,1.426318,103.826912,carpark area near blk 715 yishun street 71,
7-Dec-15,1.425366,103.844917,in the manhole of blk 355 yishun ring road,
12-Dec-15,1.433828,103.82688,multi-story carpark at blk 115b yishun ring road,base
26-Dec-15,1.426112,103.839785,yishun pond near ktph,
30-Dec-15,1.429337,103.830705,hard court grass verge of blk 734,arrest on 27 dec
